step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
81,2025-04-17 09:05:48.727814,1,556.5390613194141,250,300,70,19,957,556.5390613194141,556.5390613194141,100
81,2025-04-17 09:05:48.727814,2,101.05060661198029,500,125,59,92,170,101.05060661198029,101.05060661198029,91
81,2025-04-17 09:05:48.727814,3,559.4081204563882,750,300,21,98,1001,559.4081204563882,559.4081204563882,21
81,2025-04-17 09:05:48.727814,4,479.280883188796,750,700,60,60,835,479.280883188796,479.280883188796,34
81,2025-04-17 09:05:48.727814,5,177.05261740263992,500,875,21,12,298,177.05261740263992,177.05261740263992,76
81,2025-04-17 09:05:48.727814,6,530.5352220576013,250,700,50,26,907,530.5352220576013,530.5352220576013,18
