step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
4,2025-04-17 08:58:56.203126,1,633.2262623396228,250,300,73,15,1087,633.2262623396228,633.2262623396228,20
4,2025-04-17 08:58:56.203126,2,278.3710111704448,500,125,94,43,462,278.3710111704448,278.3710111704448,38
4,2025-04-17 08:58:56.203126,3,556.5164864517403,750,300,84,15,962,556.5164864517403,556.5164864517403,22
4,2025-04-17 08:58:56.203126,4,479.6478460997894,750,700,84,17,848,479.6478460997894,479.6478460997894,60
4,2025-04-17 08:58:56.203126,5,227.91469173812118,500,875,58,92,382,227.91469173812118,227.91469173812118,94
4,2025-04-17 08:58:56.203126,6,353.2649154280368,250,700,62,34,615,353.2649154280368,353.2649154280368,99
