step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
25,2025-04-17 09:00:51.844583,1,633.2262623396228,250,300,41,43,1087,633.2262623396228,633.2262623396228,27
25,2025-04-17 09:00:51.844583,2,278.3710111704448,500,125,100,18,462,278.3710111704448,278.3710111704448,39
25,2025-04-17 09:00:51.845496,3,556.5164864517403,750,300,91,71,962,556.5164864517403,556.5164864517403,38
25,2025-04-17 09:00:51.845496,4,479.6478460997894,750,700,65,1,848,479.6478460997894,479.6478460997894,87
25,2025-04-17 09:00:51.845496,5,227.91469173812118,500,875,2,87,382,227.91469173812118,227.91469173812118,12
25,2025-04-17 09:00:51.845496,6,353.2649154280368,250,700,54,81,615,353.2649154280368,353.2649154280368,65
