step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
47,2025-04-17 09:02:53.042552,1,582.1672802125325,250,300,48,33,985,582.1672802125325,582.1672802125325,75
47,2025-04-17 09:02:53.042552,2,278.3710111704448,500,125,99,2,462,278.3710111704448,278.3710111704448,7
47,2025-04-17 09:02:53.042552,3,572.831866715999,750,300,13,54,1252,572.831866715999,572.831866715999,99
47,2025-04-17 09:02:53.042552,4,505.1024241926758,750,700,89,64,886,505.1024241926758,505.1024241926758,18
47,2025-04-17 09:02:53.042552,5,227.91469173812118,500,875,16,46,382,227.91469173812118,227.91469173812118,82
47,2025-04-17 09:02:53.042552,6,327.71208800822,250,700,39,84,561,327.71208800822,327.71208800822,39
