step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
72,2025-04-17 09:04:59.836269,1,557.1123984337055,250,300,66,96,952,557.1123984337055,557.1123984337055,37
72,2025-04-17 09:04:59.836269,2,126.49648570710002,500,125,9,99,214,126.49648570710002,126.49648570710002,24
72,2025-04-17 09:04:59.836269,3,559.6117977563949,750,300,62,44,1003,559.6117977563949,559.6117977563949,30
72,2025-04-17 09:04:59.836269,4,479.2351577404906,750,700,88,48,839,479.2351577404906,479.2351577404906,66
72,2025-04-17 09:04:59.836269,5,177.14456446644505,500,875,49,35,296,177.14456446644505,177.14456446644505,6
72,2025-04-17 09:04:59.836269,6,505.2637776906861,250,700,69,70,861,505.2637776906861,505.2637776906861,7
