step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
45,2025-04-17 09:02:42.363224,1,607.6839075010456,250,300,29,35,1030,607.6839075010456,607.6839075010456,3
45,2025-04-17 09:02:42.363224,2,278.3710111704448,500,125,57,14,462,278.3710111704448,278.3710111704448,60
45,2025-04-17 09:02:42.363224,3,572.831866715999,750,300,55,9,1252,572.831866715999,572.831866715999,72
45,2025-04-17 09:02:42.363224,4,479.81829397316363,750,700,23,55,839,479.81829397316363,479.81829397316363,74
45,2025-04-17 09:02:42.363224,5,227.91469173812118,500,875,88,53,382,227.91469173812118,227.91469173812118,20
45,2025-04-17 09:02:42.363224,6,327.71208800822,250,700,17,30,561,327.71208800822,327.71208800822,31
