step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
31,2025-04-17 09:01:25.442741,1,658.3431336642965,250,300,76,73,1121,658.3431336642965,658.3431336642965,75
31,2025-04-17 09:01:25.442741,2,278.3710111704448,500,125,84,88,462,278.3710111704448,278.3710111704448,6
31,2025-04-17 09:01:25.442741,3,556.5164864517403,750,300,11,84,962,556.5164864517403,556.5164864517403,18
31,2025-04-17 09:01:25.442741,4,479.6478460997894,750,700,9,48,848,479.6478460997894,479.6478460997894,37
31,2025-04-17 09:01:25.442741,5,227.91469173812118,500,875,97,67,382,227.91469173812118,227.91469173812118,54
31,2025-04-17 09:01:25.442741,6,328.00051863424477,250,700,41,50,566,328.00051863424477,328.00051863424477,50
