step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
80,2025-04-17 09:05:43.347092,1,556.5390613194141,250,300,76,48,957,556.5390613194141,556.5390613194141,44
80,2025-04-17 09:05:43.347092,2,101.05060661198029,500,125,55,67,170,101.05060661198029,101.05060661198029,52
80,2025-04-17 09:05:43.347092,3,559.4081204563882,750,300,45,27,1001,559.4081204563882,559.4081204563882,50
80,2025-04-17 09:05:43.347092,4,479.280883188796,750,700,85,4,835,479.280883188796,479.280883188796,98
80,2025-04-17 09:05:43.347092,5,177.05261740263992,500,875,44,60,298,177.05261740263992,177.05261740263992,1
80,2025-04-17 09:05:43.347092,6,530.5352220576013,250,700,81,33,907,530.5352220576013,530.5352220576013,18
