step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
57,2025-04-17 09:03:37.933654,1,658.1640044523193,250,300,2,64,1113,658.1640044523193,658.1640044523193,5
57,2025-04-17 09:03:37.933654,2,151.77927744954692,500,125,44,48,247,151.77927744954692,151.77927744954692,51
57,2025-04-17 09:03:37.933654,3,551.7670838164636,750,300,15,56,1257,551.7670838164636,551.7670838164636,77
57,2025-04-17 09:03:37.933654,4,529.7665533355305,750,700,66,20,930,529.7665533355305,529.7665533355305,93
57,2025-04-17 09:03:37.933654,5,177.56720248876908,500,875,21,81,297,177.56720248876908,177.56720248876908,39
57,2025-04-17 09:03:37.933654,6,353.1357341137917,250,700,30,97,604,353.1357341137917,353.1357341137917,1
