step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
36,2025-04-24 11:33:29.965209,1,633.0860452421406,250,300,83,43,1075,633.0860452421406,633.0860452421406,74
36,2025-04-24 11:33:29.965209,2,278.3710111704448,500,125,63,87,462,278.3710111704448,278.3710111704448,52
36,2025-04-24 11:33:29.965209,3,598.2546146076144,750,300,35,100,1300,598.2546146076144,598.2546146076144,29
36,2025-04-24 11:33:29.965209,4,454.53412640311456,750,700,66,93,803,454.53412640311456,454.53412640311456,1
36,2025-04-24 11:33:29.965209,5,227.91469173812118,500,875,55,26,382,227.91469173812118,227.91469173812118,29
36,2025-04-24 11:33:29.965209,6,328.00051863424477,250,700,60,22,566,328.00051863424477,328.00051863424477,43
