step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
85,2025-04-17 09:06:10.509395,1,505.88224556368914,250,300,88,100,876,505.88224556368914,505.88224556368914,30
85,2025-04-17 09:06:10.509395,2,126.21307940641326,500,125,9,82,211,126.21307940641326,126.21307940641326,76
85,2025-04-17 09:06:10.509395,3,584.6932333413978,750,300,16,85,1044,584.6932333413978,584.6932333413978,56
85,2025-04-17 09:06:10.509395,4,479.280883188796,750,700,75,5,835,479.280883188796,479.280883188796,53
85,2025-04-17 09:06:10.509395,5,177.05261740263992,500,875,12,91,298,177.05261740263992,177.05261740263992,11
85,2025-04-17 09:06:10.509395,6,530.5352220576013,250,700,17,17,907,530.5352220576013,530.5352220576013,8
