step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
46,2025-04-24 11:34:14.845335,1,607.6839075010456,250,300,67,39,1030,607.6839075010456,607.6839075010456,16
46,2025-04-24 11:34:14.845335,2,278.3710111704448,500,125,75,48,462,278.3710111704448,278.3710111704448,47
46,2025-04-24 11:34:14.845335,3,572.831866715999,750,300,16,92,1252,572.831866715999,572.831866715999,56
46,2025-04-24 11:34:14.845335,4,479.81829397316363,750,700,44,35,839,479.81829397316363,479.81829397316363,42
46,2025-04-24 11:34:14.845335,5,227.91469173812118,500,875,85,81,382,227.91469173812118,227.91469173812118,15
46,2025-04-24 11:34:14.845335,6,327.71208800822,250,700,2,70,561,327.71208800822,327.71208800822,45
