step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
73,2025-04-24 11:36:08.246322,1,557.1123984337055,250,300,96,36,952,557.1123984337055,557.1123984337055,37
73,2025-04-24 11:36:08.246322,2,126.49648570710002,500,125,2,95,214,126.49648570710002,126.49648570710002,87
73,2025-04-24 11:36:08.246322,3,559.6117977563949,750,300,30,86,1003,559.6117977563949,559.6117977563949,20
73,2025-04-24 11:36:08.246322,4,479.2351577404906,750,700,88,27,839,479.2351577404906,479.2351577404906,72
73,2025-04-24 11:36:08.246322,5,177.14456446644505,500,875,45,27,296,177.14456446644505,177.14456446644505,92
73,2025-04-24 11:36:08.246322,6,505.2637776906861,250,700,61,90,861,505.2637776906861,505.2637776906861,42
