step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
64,2025-04-17 09:04:16.145508,1,607.5921261266981,250,300,74,15,1029,607.5921261266981,607.5921261266981,33
64,2025-04-17 09:04:16.145508,2,151.77927744954692,500,125,29,92,247,151.77927744954692,151.77927744954692,85
64,2025-04-17 09:04:16.145508,3,576.3244799014278,750,300,67,65,1300,576.3244799014278,576.3244799014278,14
64,2025-04-17 09:04:16.145508,4,504.5202044028269,750,700,69,17,884,504.5202044028269,504.5202044028269,100
64,2025-04-17 09:04:16.145508,5,152.03937464328726,500,875,10,67,254,152.03937464328726,152.03937464328726,64
64,2025-04-17 09:04:16.145508,6,429.1950592506073,250,700,49,3,737,429.1950592506073,429.1950592506073,14
