step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
89,2025-04-17 09:06:32.778023,1,505.88224556368914,250,300,43,90,876,505.88224556368914,505.88224556368914,13
89,2025-04-17 09:06:32.778023,2,126.21307940641326,500,125,15,67,211,126.21307940641326,126.21307940641326,85
89,2025-04-17 09:06:32.778023,3,584.6932333413978,750,300,5,98,1044,584.6932333413978,584.6932333413978,74
89,2025-04-17 09:06:32.778023,4,504.6392312162129,750,700,91,73,878,504.6392312162129,504.6392312162129,67
89,2025-04-17 09:06:32.778023,5,151.50737734790192,500,875,53,9,255,151.50737734790192,151.50737734790192,42
89,2025-04-17 09:06:32.778023,6,530.5352220576013,250,700,63,61,907,530.5352220576013,530.5352220576013,56
