step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
8,2025-04-17 08:59:18.638815,1,633.2262623396228,250,300,62,53,1087,633.2262623396228,633.2262623396228,49
8,2025-04-17 08:59:18.638815,2,278.3710111704448,500,125,85,32,462,278.3710111704448,278.3710111704448,76
8,2025-04-17 08:59:18.638815,3,556.5164864517403,750,300,20,73,962,556.5164864517403,556.5164864517403,91
8,2025-04-17 08:59:18.638815,4,479.6478460997894,750,700,33,37,848,479.6478460997894,479.6478460997894,88
8,2025-04-17 08:59:18.638815,5,227.91469173812118,500,875,38,55,382,227.91469173812118,227.91469173812118,76
8,2025-04-17 08:59:18.638815,6,353.2649154280368,250,700,45,44,615,353.2649154280368,353.2649154280368,65
