step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
43,2025-04-17 09:02:32.243665,1,607.6839075010456,250,300,75,31,1030,607.6839075010456,607.6839075010456,49
43,2025-04-17 09:02:32.243665,2,278.3710111704448,500,125,85,53,462,278.3710111704448,278.3710111704448,74
43,2025-04-17 09:02:32.243665,3,572.831866715999,750,300,1,97,1252,572.831866715999,572.831866715999,21
43,2025-04-17 09:02:32.243665,4,479.81829397316363,750,700,95,80,839,479.81829397316363,479.81829397316363,64
43,2025-04-17 09:02:32.243665,5,227.91469173812118,500,875,75,55,382,227.91469173812118,227.91469173812118,46
43,2025-04-17 09:02:32.243665,6,327.71208800822,250,700,94,71,561,327.71208800822,327.71208800822,67
