step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
81,2025-04-24 11:36:44.182073,1,556.5390613194141,250,300,57,82,957,556.5390613194141,556.5390613194141,20
81,2025-04-24 11:36:44.182073,2,101.05060661198029,500,125,65,57,170,101.05060661198029,101.05060661198029,17
81,2025-04-24 11:36:44.182073,3,559.4081204563882,750,300,88,21,1001,559.4081204563882,559.4081204563882,66
81,2025-04-24 11:36:44.182073,4,479.280883188796,750,700,34,29,835,479.280883188796,479.280883188796,94
81,2025-04-24 11:36:44.182073,5,177.05261740263992,500,875,71,98,298,177.05261740263992,177.05261740263992,80
81,2025-04-24 11:36:44.182073,6,530.5352220576013,250,700,96,41,907,530.5352220576013,530.5352220576013,31
