step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
48,2025-04-17 09:02:58.636713,1,607.309906150573,250,300,2,53,1027,607.309906150573,607.309906150573,32
48,2025-04-17 09:02:58.636713,2,253.05903108860008,500,125,85,75,420,253.05903108860008,253.05903108860008,44
48,2025-04-17 09:02:58.636713,3,572.831866715999,750,300,97,77,1252,572.831866715999,572.831866715999,87
48,2025-04-17 09:02:58.636713,4,505.1024241926758,750,700,4,70,886,505.1024241926758,505.1024241926758,85
48,2025-04-17 09:02:58.636713,5,227.91469173812118,500,875,22,79,382,227.91469173812118,227.91469173812118,88
48,2025-04-17 09:02:58.636713,6,327.71208800822,250,700,4,34,561,327.71208800822,327.71208800822,42
