step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
9,2025-04-17 08:59:24.285016,1,633.2262623396228,250,300,51,60,1087,633.2262623396228,633.2262623396228,10
9,2025-04-17 08:59:24.285016,2,278.3710111704448,500,125,35,5,462,278.3710111704448,278.3710111704448,82
9,2025-04-17 08:59:24.285016,3,556.5164864517403,750,300,39,66,962,556.5164864517403,556.5164864517403,15
9,2025-04-17 08:59:24.285016,4,479.6478460997894,750,700,62,68,848,479.6478460997894,479.6478460997894,74
9,2025-04-17 08:59:24.285016,5,227.91469173812118,500,875,52,36,382,227.91469173812118,227.91469173812118,38
9,2025-04-17 08:59:24.285016,6,353.2649154280368,250,700,92,46,615,353.2649154280368,353.2649154280368,95
