step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
50,2025-04-24 11:34:30.783459,1,607.309906150573,250,300,42,26,1027,607.309906150573,607.309906150573,54
50,2025-04-24 11:34:30.783459,2,227.60957592390483,500,125,38,34,376,227.60957592390483,227.60957592390483,76
50,2025-04-24 11:34:30.783459,3,599.8453274771032,750,300,23,44,1300,599.8453274771032,599.8453274771032,49
50,2025-04-24 11:34:30.783459,4,479.60281948350814,750,700,65,95,839,479.60281948350814,479.60281948350814,23
50,2025-04-24 11:34:30.783459,5,227.91469173812118,500,875,78,75,382,227.91469173812118,227.91469173812118,51
50,2025-04-24 11:34:30.783459,6,327.71208800822,250,700,68,83,561,327.71208800822,327.71208800822,61
