step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
74,2025-04-24 11:36:12.724818,1,557.1123984337055,250,300,37,34,952,557.1123984337055,557.1123984337055,93
74,2025-04-24 11:36:12.724818,2,126.49648570710002,500,125,85,11,214,126.49648570710002,126.49648570710002,78
74,2025-04-24 11:36:12.724818,3,559.6117977563949,750,300,63,40,1003,559.6117977563949,559.6117977563949,40
74,2025-04-24 11:36:12.724818,4,479.2351577404906,750,700,88,31,839,479.2351577404906,479.2351577404906,85
74,2025-04-24 11:36:12.724818,5,177.14456446644505,500,875,100,68,296,177.14456446644505,177.14456446644505,11
74,2025-04-24 11:36:12.724818,6,505.2637776906861,250,700,70,91,861,505.2637776906861,505.2637776906861,50
