step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
75,2025-04-24 11:36:17.207622,1,557.1123984337055,250,300,21,3,952,557.1123984337055,557.1123984337055,1
75,2025-04-24 11:36:17.207622,2,126.49648570710002,500,125,62,98,214,126.49648570710002,126.49648570710002,42
75,2025-04-24 11:36:17.207622,3,559.6117977563949,750,300,60,78,1003,559.6117977563949,559.6117977563949,70
75,2025-04-24 11:36:17.207622,4,479.2351577404906,750,700,91,41,839,479.2351577404906,479.2351577404906,15
75,2025-04-24 11:36:17.207622,5,177.14456446644505,500,875,98,54,296,177.14456446644505,177.14456446644505,5
75,2025-04-24 11:36:17.207622,6,505.2637776906861,250,700,39,98,861,505.2637776906861,505.2637776906861,47
