step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
60,2025-04-24 11:35:09.707463,1,633.0662619099035,250,300,44,61,1073,633.0662619099035,633.0662619099035,22
60,2025-04-24 11:35:09.707463,2,151.77927744954692,500,125,100,95,247,151.77927744954692,151.77927744954692,82
60,2025-04-24 11:35:09.707463,3,551.7670838164636,750,300,88,69,1257,551.7670838164636,551.7670838164636,42
60,2025-04-24 11:35:09.707463,4,529.7665533355305,750,700,92,81,930,529.7665533355305,529.7665533355305,36
60,2025-04-24 11:35:09.707463,5,177.56720248876908,500,875,88,100,297,177.56720248876908,177.56720248876908,14
60,2025-04-24 11:35:09.707463,6,378.39170093920336,250,700,93,81,644,378.39170093920336,378.39170093920336,44
