step,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
59,2025-04-24 11:35:05.240976,1,633.0662619099035,250,300,98,95,1073,633.0662619099035,633.0662619099035,25
59,2025-04-24 11:35:05.240976,2,151.77927744954692,500,125,50,59,247,151.77927744954692,151.77927744954692,89
59,2025-04-24 11:35:05.240976,3,551.7670838164636,750,300,16,96,1257,551.7670838164636,551.7670838164636,55
59,2025-04-24 11:35:05.240976,4,529.7665533355305,750,700,88,29,930,529.7665533355305,529.7665533355305,99
59,2025-04-24 11:35:05.240976,5,177.56720248876908,500,875,36,30,297,177.56720248876908,177.56720248876908,2
59,2025-04-24 11:35:05.240976,6,378.39170093920336,250,700,10,19,644,378.39170093920336,378.39170093920336,67
